,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,,,,
2023-08-28,322.58807894045736,323.07344713621103,318.68524222639564,320.6465759277344,14808500,178.97625019026674,179.4731579970015,177.4457808178697,179.0756378173828,43820700
2023-08-29,318.84373205694396,325.8767642718409,318.84373205694396,325.3121337890625,19284600,178.5886452216866,183.75648287285222,178.38988515133815,182.98130798339844,53003900
2023-08-30,325.5697048989506,326.6989356833555,323.37064470857354,325.6885681152344,15222100,183.79623993812856,186.68824666593932,183.5974798721571,186.48947143554688,60813900
2023-08-31,326.09469293106076,327.7885541636896,323.69750731033304,324.66827392578125,26411000,186.6783166282915,187.95039936926207,186.3205424096171,186.7081298828125,60794500
2023-09-01,328.1847806822059,328.85835904932804,323.6975129666843,325.5597839355469,14931200,188.31809755249566,188.74543092268522,187.1155741698604,188.2882843017578,45732600
2023-09-05,325.89658763051284,331.6914114200369,325.55979843195536,330.4036560058594,18553900,187.11559340947835,188.8050768374951,186.44973880050088,188.5268096923828,45280000
2023-09-06,330.2352737981181,331.305072994731,327.06544689827825,329.739990234375,17535800,187.23484633917346,187.68207547486304,180.34771175415628,181.77880859375,81755800
2023-09-07,328.1649609757256,329.93805420021084,325.926269806624,326.7979736328125,18381000,174.09658267042076,177.10785742512675,172.4667259444429,176.4618682861328,112488800
2023-09-08,326.9762886066254,332.989038125567,326.35222650031665,331.1168518066406,19530100,177.24701069547294,179.12532149203676,176.6904612453168,177.0780487060547,65551300
2023-09-11,334.05884921795905,335.2277414058345,332.26592513119544,334.75225830078125,16583300,178.9563633540274,179.18493667169957,176.24323613595504,178.25074768066406,58953100
2023-09-12,332.65225686072523,333.6131081744858,328.3531991956685,328.64044189453125,17565500,178.37997587722177,179.01601728450376,173.7388586270757,175.20970153808594,90370200
2023-09-13,328.18476022177265,333.6725100311342,328.04609655704934,332.88995361328125,16544400,175.41837777577814,176.20350055461225,172.9040256402011,173.1326141357422,84267900
2023-09-14,335.9508335027836,337.6446948177022,333.3951836281645,335.5050964355469,20267000,172.92390792735483,175.0109266750055,172.5065072107091,174.6531524658203,60895800
2023-09-15,333.74188374525704,334.217336610677,326.540441514089,327.1050720214844,37666900,175.38856818743835,175.40844874494908,172.74503028655468,173.9276580810547,109205100
2023-09-18,324.7078694858904,327.2833498823573,323.28145050414594,325.95599365234375,16834200,175.38856362269223,178.27063780985006,175.08048322919404,176.86935424804688,67257600
2023-09-19,323.09327870427745,326.2829059201443,321.44893371923223,325.54986572265625,16505900,176.42213782123514,178.51908920430856,176.034550369597,177.96255493164062,51826900
2023-09-20,326.401747426873,326.48097948715775,317.4866442743729,317.7441711425781,21436500,178.1513672500879,178.5886485115626,174.3152386804528,174.40469360351562,58436200
2023-09-21,316.24845742778143,322.2810073516276,312.02863196954377,316.5158996582031,35529500,173.47050026870355,175.20967741085585,172.78476514063325,172.8543243408203,63047900
2023-09-22,318.2890565230016,318.4178350943652,313.16781085321537,314.01971435546875,21447900,173.58976187810813,175.98486101486026,172.97360108411723,173.70901489257812,56725400
2023-09-25,313.60365734669637,314.67348682106314,312.028659170828,314.5447082519531,17836000,173.12268010832878,175.87555365575165,173.07298629383072,174.99105834960938,46172700
2023-09-26,312.157403521801,312.900328819341,307.09559010844697,309.19561767578125,26297600,173.7388432559087,174.11648285641874,170.5983824508641,170.8965301513672,64588900
2023-09-27,309.35407912600334,311.335213235628,306.7687136232028,309.8394775390625,19410100,171.5524350388733,171.9698357492923,168.00452141810098,169.3759765625,66921800
2023-09-28,308.05643070863107,312.5040972255242,306.53097924919433,310.68145751953125,19683600,168.2927119154032,170.96607801740788,166.58334805459177,169.63436889648438,56294400
2023-09-29,314.7527102170629,316.45648691507375,312.0088501090386,312.7715759277344,24140300,170.95614167013932,171.9996509482002,169.28652379235777,170.15115356445312,51814200
2023-10-02,313.2965460861367,318.853642968879,312.2069162826865,318.76446533203125,20570000,170.16109351938684,173.22204712222216,169.87287852825236,172.67544555664062,52164500
